"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"ST_TURNO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"12/12/2018";423097511;"AP";"Outro";"850064";2;"Fundo Especial de Financiamento de Campanha";20120000;"Serviços prestados por terceiros";1;"Financeiro";0;"Cheque";24698071;16896064;"24/09/2018";"SERVIÇOS DE COORDENAÇÃO DE MILTANCIA";"3000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"12/12/2018";423097511;"AP";"Outro";"850074";2;"Fundo Especial de Financiamento de Campanha";20600000;"Cessão ou locação de veículos";1;"Financeiro";0;"Cheque";24698128;16896080;"25/09/2018";"LOCAÇÃO VEICULO HONDA/CG 150 FAN PLACA NFA2726";"700,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"17/11/2018";423131855;"AP";"Outro";"900016";2;"Fundo Especial de Financiamento de Campanha";20600000;"Cessão ou locação de veículos";1;"Financeiro";0;"Cheque";23902092;16043024;"06/09/2018";"LOCAÇÃO DE VEICULO/STRADA";"2000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"17/11/2018";423131855;"AP";"Outro";"900024";2;"Fundo Especial de Financiamento de Campanha";20600000;"Cessão ou locação de veículos";1;"Financeiro";0;"Cheque";23902094;16043029;"10/09/2018";"LOCAÇÃO DE VEICULO/SAVERO";"2000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"17/11/2018";423131855;"AP";"Outro";"900007";2;"Fundo Especial de Financiamento de Campanha";20040000;"Locação/cessão de bens imóveis";1;"Financeiro";0;"Cheque";23902078;16043033;"03/09/2018";"LOCAÇÃO DE IMOVEL-BAIRRO CENTRO-AMAPA-AP";"4000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"29/11/2018";422800815;"AP";"Outro";"850039";0;"Fundo Partidário";20040000;"Locação/cessão de bens imóveis";1;"Financeiro";0;"Cheque";24456647;16638828;"05/10/2018";"LOCALIZADO À AV. FELIPE CAMARÃO· 1601· BURITZAL";"10000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"31/01/2019";422493594;"AP";"Outro";"850002";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24872053;17074094;"18/09/2018";"SERVIÇO DE MILITÂNCIA E MOBILIZAÇÃO DE RUAS";"1480,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"23/11/2018";422517522;"AP";"Outro";"850012";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24243902;16407288;"03/09/2018";"SERVIÇOS DE COORDENADOR DE CAMPANHA NFS-E 382166";"5000,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"23/11/2018";422517522;"AP";"Outro";"850057";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";0;"Cheque";24243958;16407253;"20/09/2018";"SERVIÇOS DE CABO ELEITORAL CFE. NFS-E 3546";"950,00"
"07/06/2026";"03:00:48";2018;2;"Ordinária";297;"Eleições Gerais Estaduais 2018";"07/10/2018";"1";"Final";"23/11/2018";422517522;"AP";"Outro";"850042";2;"Fundo Especial de Financiamento de Campanha";20600000;"Cessão ou locação de veículos";1;"Financeiro";0;"Cheque";24243863;16407326;"18/09/2018";"FORD FIESTA· PLACA NET 5257· 2005/2005";"2000,00"
