"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01023";"PORTO ACRE";10001928703;1;14;"Terra nua";"AREA DE TERRA";"600000,00";"06/10/2024";"19:00:09"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01023";"PORTO ACRE";10001928703;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"CAMINHONETE";"120000,00";"06/10/2024";"19:00:09"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01023";"PORTO ACRE";10001928703;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO";"7000,00";"06/10/2024";"19:00:09"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01023";"PORTO ACRE";10001928704;1;12;"Casa";"Casa Mista em Alvenaria e Madeira";"150000,00";"06/10/2024";"19:00:09"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01023";"PORTO ACRE";10001928704;2;12;"Casa";"Casa em Alvenaria";"120000,00";"06/10/2024";"19:00:09"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01023";"PORTO ACRE";10001928704;3;14;"Terra nua";"Colônia São José";"1000000,00";"06/10/2024";"19:00:09"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01023";"PORTO ACRE";10001928704;4;14;"Terra nua";"Fazenda São José";"2600000,00";"06/10/2024";"19:00:09"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01023";"PORTO ACRE";10001928704;5;14;"Terra nua";"Colônia São Pedro";"1000000,00";"06/10/2024";"19:00:09"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01023";"PORTO ACRE";10001928704;6;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Honda NXR 160 BROS";"12500,00";"06/10/2024";"19:00:09"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01023";"PORTO ACRE";10001928704;7;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Gol 1.6 Ano 2013";"35000,00";"06/10/2024";"19:00:09"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01023";"PORTO ACRE";10001928704;8;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"Corolla";"50000,00";"06/10/2024";"19:00:09"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01554";"MANOEL URBANO";10002033399;1;12;"Casa";"CASA DE ALVENARIA";"300000,00";"03/12/2025";"13:11:16"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01554";"MANOEL URBANO";10002033399;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MOTO PLACA MZX32750";"2000,00";"03/12/2025";"13:11:16"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01554";"MANOEL URBANO";10002033400;1;12;"Casa";"CASA DE ALVENARIA MEDINDO 13X11";"150000,00";"03/12/2025";"13:11:20"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01554";"MANOEL URBANO";10002033400;2;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"ONIX, PRETO, ANO 2016";"49000,00";"03/12/2025";"13:11:20"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01554";"MANOEL URBANO";10002033400;3;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"FIAT STRADA, BEGE, ANO 2009";"30000,00";"03/12/2025";"13:11:20"
"22/04/2026";"19:30:43";2024;2;"Eleição Ordinária";619;"Eleições Municipais 2024";"06/10/2024";"AC";"01554";"MANOEL URBANO";10002033401;1;12;"Casa";"CASA MISTA";"100000,00";"03/12/2025";"13:11:18"
