"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"ST_TURNO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"09/12/2020";1843814814;"AC";"Fatura";"579005790";1;"Outros Recursos";20310000;"Produção de jingles, vinhetas e slogans";1;"Financeiro";1;"Transferência eletrônica";35478305;23163499;"16/10/2020";"COMPOSIÇÃO· GRAVAÇÃO· PRODUÇÃO JINGLE CAMPANHA";"1000,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"27/04/2021";1828952428;"AC";"Nota Fiscal";"551856000006988";2;"Fundo Especial de Financiamento de Campanha";20100000;"Combustíveis e lubrificantes";1;"Financeiro";1;"Transferência eletrônica";40591887;27370285;"09/11/2020";"GASOLINA COMUM";"997,56"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"16/09/2021";1849848286;"AC";"Fatura";"850014";2;"Fundo Especial de Financiamento de Campanha";20170000;"Energia elétrica";1;"Financeiro";0;"Cheque";41058736;27766207;"13/11/2020";"416·01 DE ENERGIA ELETRICA CONSUMIDA NO COMITE";"416,01"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"23/01/2021";1844998111;"AC";"Nota Fiscal";"131589";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";1;"Transferência eletrônica";39942212;26813167;"04/11/2020";"ADESIVO DE CARRO MED 50X20CM | ADESIVO DE MOTO MED 15X10CM | ADESIVO DE MOTO MED 20X8CM | BANDEIRAS MED 86X43 | CARTAZ A3 | INFORMATIVOS 6 PGS | MINIDOOR MED 1X0·50CM | PRAGUINHA  | SANTINHOS PAPEL SULFIT 63G";"16840,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"16/09/2021";1849848286;"AC";"Nota Fiscal";"850055";2;"Fundo Especial de Financiamento de Campanha";20360000;"Serviços próprios prestados por terceiros";1;"Financeiro";0;"Cheque";41058716;27766151;"06/11/2020";"REFERENTE A CAMPANHA ELEITORAL 2020";"801,16"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"16/09/2021";1849848286;"AC";"Nota Fiscal";"850031";2;"Fundo Especial de Financiamento de Campanha";20360000;"Serviços próprios prestados por terceiros";1;"Financeiro";0;"Cheque";41058756;27766165;"06/11/2020";"REFERENTE A CAMPANHA ELEITORAL 2020";"801,16"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"16/09/2021";1849848286;"AC";"Nota Fiscal";"850084";2;"Fundo Especial de Financiamento de Campanha";20120000;"Serviços prestados por terceiros";1;"Financeiro";0;"Cheque";41058709;27766189;"10/11/2020";"REFERENTE A CAMPANHA ELEITORAL 2020";"801,16"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"16/09/2021";1849848286;"AC";"Nota Fiscal";"850089";2;"Fundo Especial de Financiamento de Campanha";20120000;"Serviços prestados por terceiros";1;"Financeiro";0;"Cheque";41058777;27766195;"06/11/2020";"REFERENTE A CAMPANHA ELEITORAL 2020";"801,16"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"16/09/2021";1849848286;"AC";"Nota Fiscal";"850072";2;"Fundo Especial de Financiamento de Campanha";20120000;"Serviços prestados por terceiros";1;"Financeiro";0;"Cheque";41058695;27766196;"06/11/2020";"REFERENTE A CAMPANHA ELEITORAL 2020";"801,16"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"15/01/2021";1847605508;"AC";"Fatura";"900207";1;"Outros Recursos";20300000;"Telefone";1;"Financeiro";0;"Cheque";39807066;26698429;"18/11/2020";"CONTA DE TELEFONE MÊS 11/2020";"119,92"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"15/01/2021";1847605508;"AC";"Fatura";"900205";1;"Outros Recursos";20300000;"Telefone";1;"Financeiro";0;"Cheque";39807021;26698452;"19/11/2020";"CONTA DE TELEFONE MÊS 10/2020";"169,95"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"19/02/2021";1845018273;"AC";"Nota Fiscal";"700278";2;"Fundo Especial de Financiamento de Campanha";20150000;"Alimentação";1;"Financeiro";1;"Transferência eletrônica";40320417;27127813;"04/11/2020";"MARMITEX NO PERIODO DE 05 DIAS";"255,00"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"19/02/2021";1845018273;"AC";"Nota Fiscal";"732133";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";1;"Transferência eletrônica";40320411;27127815;"12/11/2020";"SERVIÇO DE PANFLETAGEM";"693,33"
"06/06/2026";"15:00:20";2020;2;"Ordinária";426;"Eleições Municipais 2020";"15/11/2020";"1";"Final";"19/02/2021";1845018273;"AC";"Nota Fiscal";"13112020";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";1;"Transferência eletrônica";40320423;27127816;"13/11/2020";"SERVIÇO DE PANFLETAGEM DA CAMPANHA  DE 2020";"693,33"
